id,fecha,archivo_origen,tercero_nombre,tercero_nit,descripcion,tipo_movimiento,valor_cop,cedula_destino,concepto_tributario,beneficio_asociado,confianza_clasificacion,observaciones,estado_exogena,valor_exogena_cop,diferencia_exogena_cop,resolucion_usuario
11,2025-12-31,Banco_Demo - Certificado AFC.pdf,ENTIDAD BANCARIA DEMO S.A.,900777888-9,Saldo en cuenta de ahorro AFC a 31 de diciembre,PATRIMONIO_ACTIVO,4323968,PATRIMONIO,PATRIMONIO_CUENTAS,Art. 261 E.T.,ALTA,Saldo activo en cuenta de ahorro programado AFC,MATCH_EXACTO,4323968.0,0.0,CONFIRMADO_CERTIFICADO
12,2025-12-31,Banco_Demo - Certificado tributario.pdf,ENTIDAD BANCARIA DEMO S.A.,900777888-9,Saldo cuenta de ahorros principal a 31 de diciembre,PATRIMONIO_ACTIVO,9400,PATRIMONIO,PATRIMONIO_CUENTAS,Art. 261 E.T.,ALTA,Saldo bancario,MATCH_EXACTO,9400.0,0.0,CONFIRMADO_CERTIFICADO
13,2025-12-31,Nu - Certificado de retencion en la fuente.pdf,COMPAÑIA FINANCIERA DIGITAL DEMO,900555111-2,Saldo cuenta de ahorros Nu a 31 de diciembre,PATRIMONIO_ACTIVO,6068,PATRIMONIO,PATRIMONIO_CUENTAS,Art. 261 E.T.,ALTA,Saldo cuenta remunerada Nu,MATCH_EXACTO,6068.0,0.0,CONFIRMADO_CERTIFICADO
14,2025-12-31,Nu - Certificado de retencion en la fuente.pdf,COMPAÑIA FINANCIERA DIGITAL DEMO,900555111-2,Rendimientos financieros en cuenta de ahorros Nu,INGRESO,68688,CAPITAL,RENTAS_CAPITAL,Art. 338 E.T.,ALTA,Rendimientos de cuenta de ahorros,MATCH_EXACTO,68688.0,0.0,CONFIRMADO_CERTIFICADO
15,2025-12-31,Fiduciaria Banco_Demo - Certificado Fiducuenta.pdf,FIDUCIARIA NACIONAL DEMO S.A.,800150280-0,Saldo FIC Fiducuenta a 31 de diciembre,PATRIMONIO_ACTIVO,20873,PATRIMONIO,PATRIMONIO_CUENTAS,Art. 261 E.T.,ALTA,Saldo fondo fiduciario,MATCH_EXACTO,20873.0,0.0,CONFIRMADO_CERTIFICADO
16,2025-12-31,Acciones y Valores - Certificado fondos.pdf,COMISIONISTA DE BOLSA DEMO S.A.,900666777-8,Saldo FIC Accival Acciones Dinámico a 31 de diciembre,PATRIMONIO_ACTIVO,3009898,PATRIMONIO,PATRIMONIO_CUENTAS,Art. 261 E.T.,ALTA,Saldo fondo de inversión colectiva,MATCH_EXACTO,3009898.0,0.0,CONFIRMADO_CERTIFICADO
17,2025-12-31,Acciones y Valores - Certificado fondos.pdf,COMISIONISTA DE BOLSA DEMO S.A.,900666777-8,Rendimientos financieros y utilidades en fondos,INGRESO,71468,CAPITAL,RENTAS_CAPITAL,Art. 338 E.T.,ALTA,Rendimientos financieros gravables,MATCH_EXACTO,71468.0,0.0,CONFIRMADO_CERTIFICADO
18,2025-12-31,Acciones y Valores - Certificado fondos.pdf,COMISIONISTA DE BOLSA DEMO S.A.,900666777-8,Componente inflacionario no gravado (55.43%),EGRESO,39615,CAPITAL,INCRNGO_CAPITAL,Art. 40-1 E.T.,ALTA,Componente inflacionario no constitutivo de renta,SOLO_EN_CERTIFICADOS,0,39615.0,CONFIRMADO_CERTIFICADO
19,2025-12-31,Acciones y Valores - Operaciones bursatiles.pdf,COMISIONISTA DE BOLSA DEMO S.A.,900666777-8,Portafolio de acciones y títulos negociables a 31 de diciembre,PATRIMONIO_ACTIVO,7691929,PATRIMONIO,PATRIMONIO_BIENES,Art. 272 E.T.,ALTA,"Acciones BRKB, CSPX, ECOPETROL, ICOLCAP, PFCIBEST",SOLO_EN_CERTIFICADOS,0,7691929.0,CONFIRMADO_CERTIFICADO
20,2025-12-31,DIAN - Informacion exogena 2025.xlsx,SECRETARIA DE HACIENDA DISTRITAL DEMO,899999000-1,Vehículo Automotor Placa AAA000 (Avalúo fiscal),PATRIMONIO_ACTIVO,48736000,PATRIMONIO,PATRIMONIO_BIENES,Art. 267 E.T.,ALTA,Costo fiscal / Avalúo oficial de vehículo,MATCH_EXACTO,48736000.0,0.0,CONFIRMADO_CERTIFICADO
21,2025-12-31,DIAN - Informacion exogena 2025.xlsx,INMUEBLE HABITACION / VIVIENDA,9001234567,Inmueble de habitación principal (Costo fiscal de adquisición),PATRIMONIO_ACTIVO,201923832,PATRIMONIO,PATRIMONIO_BIENES,Art. 277 E.T.,ALTA,Patrimonio bruto total declarado: 265.722.000,SOLO_EN_CERTIFICADOS,0,201923832.0,CONFIRMADO_CERTIFICADO
22,2025-12-31,DIAN - Informacion exogena 2025.xlsx,FONDO NACIONAL DE AHORRO Y VIVIENDA DEMO,899999284-7,Retiro aportes voluntarios a pensión sin cumplimiento de requisitos,INGRESO,2829732,CAPITAL,RENTAS_CAPITAL,Art. 338 E.T.,ALTA,Ingreso por retiro extraordinario FNA según instrucción del usuario,MATCH_EXACTO,2829732.0,0.0,INCLUIDO_POR_EXOGENA
23,2025-12-31,DIAN - Informacion exogena 2025.xlsx,FONDO NACIONAL DE AHORRO Y VIVIENDA DEMO,899999284-7,Rendimientos financieros causados en retiro FNA,INGRESO,83853,CAPITAL,RENTAS_CAPITAL,Art. 338 E.T.,ALTA,Rendimientos FNA gravables según instrucción del usuario,MATCH_EXACTO,83853.0,0.0,INCLUIDO_POR_EXOGENA
24,2025-12-31,DIAN - Informacion exogena 2025.xlsx,CAJA DE COMPENSACION FAMILIAR DEMO,860007336-1,Subsidio familiar / vivienda asignado,INGRESO,26000000,NO_LABORAL,RENTAS_NOLABORALES,Art. 335 E.T.,ALTA,Ingreso de renta no laboral según instrucción del usuario,MATCH_EXACTO,26000000.0,0.0,INCLUIDO_POR_EXOGENA
25,2025-12-31,DIAN - Informacion exogena 2025.xlsx,CAJA DE COMPENSACION FAMILIAR DEMO,860007336-1,Costo y deducción procedente por aplicación del subsidio,EGRESO,26000000,NO_LABORAL,COSTOS_NOLABORALES,Art. 107 E.T.,ALTA,Costo procedente equivalente al subsidio aplicado,SOLO_EN_CERTIFICADOS,0,26000000.0,INCLUIDO_POR_EXOGENA
26,2025-12-31,DIAN - Informacion exogena 2025.xlsx,COMPAÑIA DE SEGUROS GENERALES DEMO S.A.,891700037-1,Indemnización por siniestro de daño emergente,INGRESO,1959123,NO_LABORAL,RENTAS_NOLABORALES,Art. 335 E.T.,ALTA,Ingreso no laboral por indemnización aseguradora,MATCH_EXACTO,1959123.0,0.0,INCLUIDO_POR_EXOGENA
27,2025-12-31,DIAN - Informacion exogena 2025.xlsx,COMPAÑIA DE SEGUROS GENERALES DEMO S.A.,891700037-1,INCRNGO por indemnización de daño emergente,EGRESO,1959123,NO_LABORAL,INCRNGO_NOLABORALES,Art. 45 E.T.,ALTA,Ingreso no constitutivo de renta ni ganancia ocasional,SOLO_EN_CERTIFICADOS,0,1959123.0,INCLUIDO_POR_EXOGENA
28,2025-12-31,DIAN - Facturas electronicas 2025.xlsx,PROVEEDORES Y COMERCIOS VARIOS (263 Facturas),VARIOS,Compras anuales pagadas por medios electrónicos soportadas con factura electrónica,EGRESO,23785153,TRABAJO,DED_FACTURA_ELEC,Art. 336 Num. 5 E.T.,ALTA,Deducción especial extra-cupo del 1%: $238.000 COP,MATCH_EXACTO,23785150.0,3.0,CONFIRMADO_CERTIFICADO
29,2025-12-31,DIAN - Informacion exogena 2025.xlsx,U.A.E. DIRECCION DE IMPUESTOS Y ADUANAS NACIONALES,800197268-4,Saldo a favor del año gravable anterior imputado a la declaración,RETENCION,533000,LIQUIDACION,SALDO_FAVOR_ANTERIOR,Art. 815 E.T.,ALTA,Saldo a favor de renta del año anterior confirmado por el usuario,MATCH_EXACTO,533000.0,0.0,INCLUIDO_POR_EXOGENA
30,2025-12-31,DIAN - Informacion exogena 2025.xlsx,ENTIDADES FINANCIERAS VARIAS,900777888-9,Retenciones en la fuente bancarias sobre rendimientos y transacciones,RETENCION,533000,CAPITAL,RETENCION_FUENTE,Art. 395 E.T.,ALTA,Retenciones financieras año 2025,SOLO_EN_CERTIFICADOS,0,533000.0,CONFIRMADO_CERTIFICADO
